altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P009,0,0.281208,0.304775,2113,7,asage,1508.130739
P009,0,1.81697,0.423317,2267,20,asage,1861.923331
P009,0,0.952435,0.00113189,2207,15,asage,1954.918852
P009,0,1.92386,1.38274,1782,4,asage,1359.011859
P009,0,0.851659,1.98894,2263,24,asage,1836.300864
P009,0,0.213303,1.61734,2149,12,asage,893.1907012
P009,0,0.154511,0.466007,1943,22,asage,2609.93007
P009,0,1.54402,0.160925,2236,21,asage,2470.208496
P009,0,0.296992,1.71118,1926,10,asage,1836.860571
P009,0,1.64018,1.76822,2261,11,asage,2142.930963
P009,0,1.96274,1.27043,1909,17,asage,3513.442231
P009,0,1.59701,1.80223,2219,18,asage,3647.469405
P009,0,1.94038,1.34014,1847,16,asage,2912.625498
P009,0,0.736883,0.0352362,1834,9,asage,540.0998918
P009,0,0.0827382,0.601715,2224,19,asage,1603.124827
P009,0,1.70711,1.70711,1876,6,asage,1961.208108
P009,0,1.22486,1.97439,1816,5,asage,3465.796276
P009,0,1.93979,1.34174,1732,3,asage,906.7118657
P009,0,1.68261,1.73078,1854,4,asage,2658.257918
P009,0,1.78413,0.379404,1862,10,asage,1124.281571
P009,0,1.82404,1.56653,2401,27,asage,1409.282334
P009,0,1.51898,0.145213,2151,20,asage,2111.044408
P011,0,0.500932,0.133437,1794,5,asage,4825.136663
P011,0,1.57106,1.82091,1816,14,asage,7294.395617
P011,0,0.722223,1.96065,1822,18,asage,1505.57627
P011,0,1.15512,0.012105,1784,5,asage,4460.904168
P011,0,1.32696,0.0549607,2105,26,asage,4976.991872
P011,0,1.02874,1.99959,2389,7,asage,2823.492061
P011,0,1.99481,0.898258,2225,14,asage,2456.017887
P011,0,1.99388,0.889569,2255,13,asage,2978.256076
P011,0,0.0666544,0.641021,1857,7,asage,4036.929541
P011,0,0.259793,1.67238,1756,3,asage,4042.519711
P011,0,1.34571,0.0616569,1980,26,asage,3240.314704
P011,0,1.85027,0.473645,2122,24,asage,252.6172805
P011,0,1.96476,0.736883,1912,11,asage,2950.783829
P011,0,0.0636709,0.648876,1974,17,asage,3985.314964
P011,0,1.77504,1.63192,1998,2,asage,6765.081796
P011,0,0.0310823,0.752617,2073,8,asage,1205.987074
P011,0,1.98946,1.1448,2293,18,asage,3958.535523
P011,0,1.91333,0.592782,2104,13,asage,987.9833355
P011,0,1.64142,1.76719,1847,5,asage,4103.335942
P011,0,1.69513,0.281116,1931,0,asage,3753.737005
P011,0,0.695224,0.0475759,2279,21,asage,4120.429466
